training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 0.0, 200, -1834.9960683700742, 0, 0
2000, 276.6440918445587, 200, -9581.531082895599, 0, 0
4000, 537.6505038738251, 200, -7277.179590937866, 0, 0
6000, 912.7972090244293, 200, -9581.531082895599, 0, 0
8000, 1305.2515108585358, 200, -9581.531082895599, 0, 0
10000, 1474.0503206253052, 200, -6521.157415295625, 0, 0
12000, 1710.0989055633545, 200, -382.5755196160798, 0, 0
14000, 1922.8765106201172, 200, -598.4553530302499, 0, 0
16000, 2117.623455762863, 200, -567.6308227827566, 0, 0
18000, 2317.658182621002, 200, -502.73724824590977, 0, 0
20000, 2501.9919095039368, 200, -297.9421327031088, 0, 0
22000, 2693.562299489975, 200, -296.4072379882466, 0, 0
24000, 2892.875297307968, 200, -255.3287653785381, 0, 0
26000, 3099.7304232120514, 28, -213.1531788089645, 1, 0
28000, 3314.333962202072, 200, -324.73349311703413, 0, 0
30000, 3537.7238821983337, 200, -313.251860316592, 0, 0
32000, 3768.546527147293, 200, -342.65859324223703, 0, 0
34000, 4007.007714033127, 42, -213.75721183254913, 1, 0
36000, 4254.135607004166, 200, -257.6579748121688, 0, 0
38000, 4508.192723274231, 200, -281.47232489087736, 0, 0
40000, 4770.243827342987, 200, -278.3323716495587, 0, 0
42000, 5040.5876524448395, 200, -322.4678237783905, 0, 0
44000, 5319.171495437622, 200, -246.81057526036233, 0, 0
46000, 5605.749461650848, 40, -213.46895897492465, 1, 0
48000, 5900.583625555038, 200, -314.6141648798395, 0, 0
50000, 6202.76949763298, 32, -212.3853712479131, 1, 0
52000, 6514.244177341461, 200, -262.6786204405191, 0, 0
54000, 6834.251711130142, 34, -213.56326564583975, 1, 0
56000, 7164.070000886917, 200, -253.10558395332708, 0, 0
58000, 7499.75443482399, 200, -239.6752457564243, 0, 0
60000, 7845.47002696991, 27, -212.31004588693082, 1, 0
62000, 8197.716855764389, 200, -322.7830662026029, 0, 0
64000, 8558.29772567749, 200, -232.13023779464172, 0, 0
66000, 8927.404064416885, 34, -213.81784810864386, 1, 0
68000, 9304.313041687012, 32, -213.3043146840527, 1, 0
70000, 9689.313221693039, 200, -327.2156591648617, 0, 0
72000, 10082.249540567398, 200, -252.59693030629447, 0, 0
74000, 10482.040079593658, 200, -273.4743862816417, 0, 0
76000, 10889.357474803925, 200, -255.95110288472935, 0, 0
78000, 11304.72242474556, 200, -296.47498396172443, 0, 0
80000, 11728.287995576859, 200, -224.33215778968122, 0, 0
82000, 12157.487468719482, 54, -216.56132465595962, 1, 0
84000, 12595.269694805145, 200, -226.26406162821138, 0, 0
86000, 13038.289928913116, 200, -288.90299734047454, 0, 0
88000, 13488.794529914856, 200, -246.1821858898306, 0, 0
90000, 13946.252457141876, 200, -247.93389186680432, 0, 0
92000, 14410.153505802155, 200, -319.8250179554601, 0, 0
94000, 14881.825825691223, 200, -234.06236727119068, 0, 0
96000, 15360.666806697845, 200, -293.98621414089683, 0, 0
98000, 15847.686783790588, 200, -233.56616066734145, 0, 0
100000, 16342.21530866623, 44, -213.66008829284075, 1, 0
