,time,method,current,voltage,accumulated reward
0,0.0,baseline,0.0,0.0,0.0
1,0.001,baseline,17.588523374384227,4.205049902756849,-43.79495009724315
2,0.002,baseline,32.201466661697424,15.471510986236838,-76.32343911100631
3,0.003,baseline,41.56139692626045,31.625471963473576,-92.69796714753274
4,0.004,baseline,44.35067761640474,49.77820466138531,-94.47617180891805
5,0.005,baseline,40.398941438072896,66.83720467718035,-113.3133764860984
6,0.006,baseline,30.661337283694557,80.03278152864769,-145.3461580147461
7,0.007,baseline,17.004554630610993,87.35525260468857,-184.70141061943468
8,0.008,baseline,1.8602242360264973,87.855062112621,-224.55647273205568
9,0.009000000000000001,baseline,0.0004377638489426409,84.03190549583387,-260.58837822788956
10,0.01,baseline,0.0008687459960368508,80.30104847074415,-292.8894266986337
11,0.011,baseline,0.0002547816103285064,76.73705971435282,-321.62648641298654
12,0.012,baseline,0.002243570888424524,73.33254441880136,-346.9590308317879
13,0.013000000000000001,baseline,0.001875822560483035,70.08053923968926,-369.03957007147716
14,0.014,baseline,0.00026247161325125123,66.97425427440974,-388.0138243458869
15,0.015,baseline,0.0010505923515845236,64.00722897407191,-404.0210533199588
16,0.016,baseline,0.00033412556006475564,61.17340656648635,-417.19445988644515
17,0.017,baseline,0.0017621400488185947,58.466878480036286,-427.66133836648146
18,0.018000000000000002,baseline,0.002056007231318993,55.88212546759976,-435.5434638340812
19,0.019,baseline,0.0006049919919916768,53.41376369837491,-440.9572275324561
20,0.02,baseline,0.0010454632063841111,51.05662163777845,-444.01384917023455
21,0.021,baseline,0.0009232588601356285,48.80590074359732,-444.81974991383186
22,0.022,baseline,6.991868448068457e-05,46.65692350664505,-446.1628264071868
23,0.023,baseline,0.8623571879716587,44.96160983111888,-449.2012165760679
24,0.024,baseline,2.2605799121249754,43.85305857030525,-453.3481580057627
25,0.025,baseline,3.939750513932524,43.48848788018103,-457.85967012558166
26,0.026000000000000002,baseline,5.609758025553527,43.89512361696252,-461.96454650861915
27,0.027,baseline,6.994894665207815,44.9714727920419,-464.99307371657727
28,0.028,baseline,7.878800808370687,46.509822504535066,-466.4832512120422
29,0.029,baseline,8.137600802580975,48.23530149225527,-466.71855270429745
30,0.03,baseline,7.756275655309428,49.854310167712676,-468.57286287201015
31,0.031,baseline,6.826310277895485,51.10389564342288,-471.67675851543305
32,0.032,baseline,5.5277307307603385,51.794332161578694,-475.4710906770117
33,0.033,baseline,4.086238101663241,51.83543064971004,-479.30652132672174
34,0.034,baseline,2.7500522116518473,51.24892497656518,-482.5554463032869
35,0.035,baseline,1.7353738409599488,50.15964622233679,-484.7150925256237
36,0.036000000000000004,baseline,1.1956530969476966,48.76999142933052,-485.4850839549542
37,0.037,baseline,1.1990107289122114,47.32302077103139,-486.1620631839228
38,0.038,baseline,1.7207677962834662,46.060472139622604,-488.10159104430016
39,0.039,baseline,2.651647452253402,45.18285933380306,-490.9187317104971
40,0.04,baseline,3.8195968788424715,44.81815727203062,-494.10057443846654
41,0.041,baseline,5.02101707614405,45.003869289191485,-497.09670514927507
42,0.042,baseline,6.055820153637083,45.684846446025624,-499.41185870324944
43,0.043000000000000003,baseline,6.760348948164819,46.72651961596852,-500.6853390872809
44,0.044,baseline,7.032812138952668,47.94067236973442,-500.74466671754647
45,0.045,baseline,6.847362767627526,49.11893719318795,-501.8636039107344
46,0.046,baseline,6.254997377189339,50.06813486134986,-503.93173877208426
47,0.047,baseline,5.371712574480412,50.641533309344545,-506.5732720814288
48,0.048,baseline,4.356442832661977,50.76104000271767,-509.33431208414646
49,0.049,baseline,3.382880455514826,50.427062031286795,-511.7613741154332
50,0.05,baseline,2.6101077706049627,49.71495180900063,-513.4763259244338
0,0.0,avg_tanh,0.0,0.0,0.0
1,0.001,avg_tanh,36.682056657520135,8.32902847891057,-39.67097152108943
2,0.002,avg_tanh,37.89719205762301,24.89574085799508,-62.77523066309435
3,0.003,avg_tanh,26.038516267858327,38.16748885491606,-72.60774180817829
4,0.004,avg_tanh,14.538494242510145,45.66143135230036,-74.94631045587792
5,0.005,avg_tanh,6.3744936385313,48.46376842956945,-75.41007888544738
6,0.006,avg_tanh,3.947995971163465,48.8086016134552,-76.21868049890259
7,0.007,avg_tanh,3.965046635982913,48.603640557385106,-76.82232105628769
8,0.008,avg_tanh,4.182440457440494,48.46157974459415,-77.28390080088184
9,0.009000000000000001,avg_tanh,4.324414506531732,48.40712372396293,-77.69102452484478
10,0.01,avg_tanh,4.364055211510421,48.395808662633705,-78.08683318747848
11,0.011,avg_tanh,4.367774445693857,48.394687888643936,-78.48152107612242
12,0.012,avg_tanh,4.371585691794537,48.39531489872596,-78.87683597484838
13,0.013000000000000001,avg_tanh,4.374854720313371,48.397508379275244,-79.27434435412363
14,0.014,avg_tanh,4.358805975245558,48.39625114541111,-79.67059549953473
15,0.015,avg_tanh,4.362803793481061,48.392807687835806,-80.06340318737054
16,0.016,avg_tanh,4.367703082699701,48.39152606726734,-80.45492925463788
17,0.017,avg_tanh,4.372653758852941,48.3925221439966,-80.84745139863448
18,0.018000000000000002,avg_tanh,4.376835006700749,48.39553004246251,-81.24298144109699
19,0.019,avg_tanh,4.361330540022726,48.39537813923286,-81.63835958032985
20,0.02,avg_tanh,4.365431051866527,48.39313524861474,-82.03149482894459
21,0.021,avg_tanh,4.3699940882185935,48.392946701722664,-82.42444153066725
22,0.022,avg_tanh,4.374244660438779,48.394752408178334,-82.81919393884559
23,0.023,avg_tanh,4.377493870803581,48.39816522227452,-83.2173591611201
24,0.024,avg_tanh,4.3609898374828076,48.39796455227422,-83.61532371339432
25,0.025,avg_tanh,4.364191519348881,48.39524743030635,-84.01057114370067
26,0.026000000000000002,avg_tanh,4.3681005974539096,48.394256496977256,-84.40482764067792
27,0.027,avg_tanh,4.372039328543614,48.39507890476306,-84.79990654544099
28,0.028,avg_tanh,4.375355175367136,48.39749812112024,-85.19740466656123
29,0.029,avg_tanh,4.3592684247172,48.396458290804894,-85.59386295736613
30,0.03,avg_tanh,4.3631534655337605,48.393188329722825,-85.98705128708895
31,0.031,avg_tanh,4.367887173571975,48.39200956368944,-86.37906085077839
32,0.032,avg_tanh,4.3744150096322825,48.393530403950834,-86.77259125472922
33,0.033,avg_tanh,4.376295289223161,48.396348935177095,-87.16894018990632
34,0.034,avg_tanh,4.358749512689338,48.395037994235565,-87.56397818414189
35,0.035,avg_tanh,4.36139391207139,48.39090184499763,-87.95488002913952
36,0.036000000000000004,avg_tanh,4.365300739920296,48.38843051774939,-88.34331054688892
37,0.037,avg_tanh,4.369768099062449,48.38795858341121,-88.73126913030012
38,0.038,avg_tanh,4.374032612288675,48.389475240841236,-89.12074437114136
39,0.039,avg_tanh,4.377398343618271,48.39264144398416,-89.51338581512552
40,0.04,avg_tanh,4.361089693348537,48.39227559899179,-89.9056614141173
41,0.041,avg_tanh,4.364529420806939,48.389499202411486,-90.29516061652879
42,0.042,avg_tanh,4.368677931590176,48.38855909091341,-90.68371970744221
43,0.043000000000000003,avg_tanh,4.372817970349905,48.38952910087024,-91.07324880831246
44,0.044,avg_tanh,4.376265543172392,48.39216403564108,-91.46541284395354
45,0.045,avg_tanh,4.378481507885369,48.39595436952931,-91.86136721348285
46,0.046,avg_tanh,4.360895111637318,48.39563728690563,-92.25700450038849
47,0.047,avg_tanh,4.3631460168354685,48.39235178189163,-92.64935628228011
48,0.048,avg_tanh,4.366387197616164,48.39045363046228,-93.03980991274238
49,0.049,avg_tanh,4.370038880991592,48.390194979883695,-93.43000489262607
50,0.05,avg_tanh,4.3734791896352565,48.391545758731425,-93.8215506513575
0,0.0,avg_hardtanh,0.0,0.0,0.0
1,0.001,avg_hardtanh,36.682056657520135,8.32902847891057,-39.67097152108943
2,0.002,avg_hardtanh,36.14157060319403,24.47054038573737,-63.20043113535206
3,0.003,avg_hardtanh,24.395505302972506,36.990646770415914,-74.20978436493616
4,0.004,avg_hardtanh,12.357665576772252,43.65476325544083,-78.55502110949533
5,0.005,avg_hardtanh,8.078728530792288,46.47519540475468,-80.07982570474064
6,0.006,avg_hardtanh,5.783276825475015,47.70576994860438,-80.37405575613627
7,0.007,avg_hardtanh,4.905978340201862,48.17308429831138,-80.54714005444765
8,0.008,avg_hardtanh,4.53919730879339,48.34129123144094,-80.8884312858886
9,0.009000000000000001,avg_hardtanh,4.401171543075707,48.38926134546681,-81.27769263135541
10,0.01,avg_hardtanh,4.36747068156616,48.39664016921052,-81.67433280056594
11,0.011,avg_hardtanh,4.370607352204406,48.39688909880611,-82.07122189937205
12,0.012,avg_hardtanh,4.373393529498234,48.39846102080783,-82.46968292017988
13,0.013000000000000001,avg_hardtanh,4.357124973501261,48.396452333782165,-82.86613525396204
14,0.014,avg_hardtanh,4.361190678522185,48.39225754238182,-83.25839279634386
15,0.015,avg_hardtanh,4.366421547035189,48.39034892567274,-83.6487417220166
16,0.016,avg_hardtanh,4.371900957959729,48.39094048621137,-84.03968220822796
17,0.017,avg_hardtanh,4.376711917740554,48.393823346453914,-84.43350555468187
18,0.018000000000000002,avg_hardtanh,4.361829539254219,48.3938341406627,-84.82733969534456
19,0.019,avg_hardtanh,4.366441999732281,48.39200200049636,-85.21934169584092
20,0.02,avg_hardtanh,4.3713270938097395,48.392393324862766,-85.61173502070369
21,0.021,avg_hardtanh,4.375665020536196,48.39484463573021,-86.0065796564339
22,0.022,avg_hardtanh,4.360503714852689,48.394274194743296,-86.4008538511772
23,0.023,avg_hardtanh,4.365068847958466,48.39181388332592,-86.79266773450313
24,0.024,avg_hardtanh,4.370135750651915,48.39163604577856,-87.18430378028168
25,0.025,avg_hardtanh,4.374844382833051,48.3936686863813,-87.57797246666297
26,0.026000000000000002,avg_hardtanh,4.37843214724272,48.39747753291534,-87.9754499995783
27,0.027,avg_hardtanh,4.3620964954261865,48.397769002439716,-88.37321900201802
28,0.028,avg_hardtanh,4.365276106397987,48.39555448841033,-88.76877349042834
29,0.029,avg_hardtanh,4.368984771206943,48.39499306643822,-89.16376655686656
30,0.03,avg_hardtanh,4.37258580529417,48.396104121986205,-89.55987067885277
31,0.031,avg_hardtanh,4.3754886042142775,48.398629656081525,-89.9585003349343
32,0.032,avg_hardtanh,4.360751153092294,48.39801089511192,-90.35651123004622
33,0.033,avg_hardtanh,4.362163206080056,48.39436308432861,-90.75087431437484
34,0.034,avg_hardtanh,4.364765260831559,48.39178624209196,-91.14266055646681
35,0.035,avg_hardtanh,4.368074323292078,48.39065876087558,-91.53331931734239
36,0.036000000000000004,avg_hardtanh,4.371511982223334,48.391102637682074,-91.92442195502446
37,0.037,avg_hardtanh,4.374504262127888,48.392974696554724,-92.31739665157917
38,0.038,avg_hardtanh,4.37657630738804,48.395902035478805,-92.71329868705797
39,0.039,avg_hardtanh,4.359167324378467,48.394768943802305,-93.10806763086028
40,0.04,avg_hardtanh,4.361873374348286,48.390847219100856,-93.49891484996112
41,0.041,avg_hardtanh,4.365759856580762,48.38858982145651,-93.88750467141764
42,0.042,avg_hardtanh,4.37013187946641,48.3882959800821,-94.27580065149974
43,0.043000000000000003,avg_hardtanh,4.374245156516752,48.38992704601775,-94.6657276975175
44,0.044,avg_hardtanh,4.37743123500087,48.39312788978391,-95.05885558730141
45,0.045,avg_hardtanh,4.360945475066705,48.39271473459798,-95.4515703218994
46,0.046,avg_hardtanh,4.364239800233752,48.38982053794302,-95.84139085984242
47,0.047,avg_hardtanh,4.368297243401743,48.38871474066951,-96.23010560051193
48,0.048,avg_hardtanh,4.372413189596737,48.38950069499919,-96.61960629551112
49,0.049,avg_hardtanh,4.375904652456128,48.391964445657614,-97.01157074116873
50,0.05,avg_hardtanh,4.3782222147204,48.39562419282355,-97.40719493399227
0,0.0,hybrid_tanh,0.0,0.0,0.0
1,0.001,hybrid_tanh,36.682056657520135,8.32902847891057,-39.67097152108943
2,0.002,hybrid_tanh,67.32038103615531,31.4417710967816,-56.22920042430783
3,0.003,hybrid_tanh,50.478296515560636,56.54382419621815,-64.77302462052597
4,0.004,hybrid_tanh,26.040120386136607,71.19842687619173,-87.9714514967177
5,0.005,hybrid_tanh,0.0011522816754011523,73.46852753386983,-113.43997903058754
6,0.006,hybrid_tanh,0.0021534693156324792,70.20380203799219,-135.64378106857973
7,0.007,hybrid_tanh,0.0006286661056068843,67.08415153870845,-154.72793260728818
8,0.008,hybrid_tanh,0.0018707735947122255,64.10312893487092,-170.8310615421591
9,0.009000000000000001,hybrid_tanh,0.0008063974974700286,61.25429598279835,-184.08535752495743
10,0.01,hybrid_tanh,4.8373194447455525e-09,58.532069086407525,-194.61742661136495
11,0.011,hybrid_tanh,0.0015648324189644436,55.930821645088365,-202.54824825645332
12,0.012,hybrid_tanh,0.0011858452096447048,53.445193670084315,-207.99344192653763
13,0.013000000000000001,hybrid_tanh,0.00019233857406005537,51.07666122979469,-211.07010315633232
14,0.014,hybrid_tanh,0.0006341847939460334,48.82358335221643,-211.89368650854874
15,0.015,hybrid_tanh,4.617800305658876,47.87503840622195,-212.01864810232678
16,0.016,hybrid_tanh,4.585442518718075,48.00296734751458,-212.02161544984136
17,0.017,hybrid_tanh,4.25320649616596,48.042155180763665,-212.06377063060503
18,0.018000000000000002,hybrid_tanh,4.319588800072165,48.02118148559791,-212.08495211620294
19,0.019,hybrid_tanh,4.351285802255746,48.02316627927116,-212.1081183954741
20,0.02,hybrid_tanh,4.324697884036566,48.025638370883605,-212.1337567663577
21,0.021,hybrid_tanh,4.336112961586409,48.0246783365454,-212.1584351029031
22,0.022,hybrid_tanh,4.328505192656147,48.02499543493206,-212.18343053783516
23,0.023,hybrid_tanh,4.3398336454849655,48.02576078367477,-212.20919132150993
24,0.024,hybrid_tanh,4.331527931596769,48.02754764588289,-212.23673896739282
25,0.025,hybrid_tanh,4.323273428002475,48.02552195166513,-212.26226091905795
26,0.026000000000000002,hybrid_tanh,4.334848884205831,48.02396153344095,-212.28622245249892
27,0.027,hybrid_tanh,4.327603368487821,48.02382343443189,-212.31004588693082
28,0.028,hybrid_tanh,4.339427086770411,48.024347583551126,-212.33439347048196
29,0.029,hybrid_tanh,4.331661855559379,48.02613761639504,-212.360531086877
30,0.03,hybrid_tanh,4.3239016810397946,48.024348082696434,-212.38487916957342
31,0.031,hybrid_tanh,4.335845631960888,48.023207418106864,-212.4080865876803
32,0.032,hybrid_tanh,4.330539784470708,48.02409782326513,-212.4321844109454
33,0.033,hybrid_tanh,4.340214848350536,48.02502713440189,-212.4572115453473
34,0.034,hybrid_tanh,4.330334865894208,48.02624289163694,-212.48345443698423
35,0.035,hybrid_tanh,4.320841830405401,48.02303893866467,-212.50649337564892
36,0.036000000000000004,hybrid_tanh,4.331704047890875,48.019914768657046,-212.52640814430595
37,0.037,hybrid_tanh,4.342781610698807,48.021875740477235,-212.5482838847832
38,0.038,hybrid_tanh,4.333817527869499,48.024598273376505,-212.5728821581597
39,0.039,hybrid_tanh,4.3246240047343205,48.02310602815483,-212.59598818631451
40,0.04,hybrid_tanh,4.335147216664978,48.02160644044265,-212.61759462675718
41,0.041,hybrid_tanh,4.345331658810666,48.024840187251606,-212.6424348140088
42,0.042,hybrid_tanh,4.3168341331276245,48.0237007526768,-212.6661355666856
43,0.043000000000000003,hybrid_tanh,4.3460514865680775,48.02334981004655,-212.68948537673214
44,0.044,hybrid_tanh,4.318028256442334,48.02270964355867,-212.7121950202908
45,0.045,hybrid_tanh,4.347501442029552,48.02299962675714,-212.73519464704793
46,0.046,hybrid_tanh,4.319482994528008,48.02302980288693,-212.75822444993486
47,0.047,hybrid_tanh,4.348720274412432,48.023907427607455,-212.78213187754233
48,0.048,hybrid_tanh,4.320274920875386,48.02434907755908,-212.8064809551014
49,0.049,hybrid_tanh,4.3307147166602515,48.02081445792959,-212.82729541303098
50,0.05,hybrid_tanh,4.341552163694645,48.022234489193515,-212.8495299022245
