training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 0.0, 200, -27431.091728886928, 0, 0
6400, 441.8320219516754, 200, -181265.4372809253, 0, 0
12800, 879.5964398384094, 200, -29782.30966157317, 0, 0
19200, 1321.563108921051, 200, -27742.776817433747, 0, 0
25600, 1756.8255310058594, 200, -27658.825483247598, 0, 0
32000, 2194.0741589069366, 200, -27137.743512079047, 0, 0
38400, 2637.0860300064087, 200, -26589.655118863735, 0, 0
44800, 3076.8703882694244, 200, -25923.03483272775, 0, 0
51200, 3515.655771255493, 200, -25889.849335202387, 0, 0
57600, 3964.1090211868286, 200, -25013.35878631019, 0, 0
64000, 4400.0893540382385, 200, -24850.764593785236, 0, 0
70400, 4836.392230987549, 200, -24887.093962680494, 0, 0
76800, 5273.074779033661, 200, -24119.41508450217, 0, 0
83200, 5721.188532114029, 200, -23738.54274657622, 0, 0
89600, 6186.1658771038055, 200, -23160.420625338786, 0, 0
96000, 6623.571645975113, 200, -22261.319368618613, 0, 0
102400, 7060.107383966446, 200, -22960.331918331383, 0, 0
102400, 7060.107465982437, 200, -22823.046851115123, 0, 0
