training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 0.0, 124, -1092.4144445879303, 1, 0
200, 0.8101539611816406, 56819, -59748.835806415045, 0, 1
400, 1.9142210483551025, 124, -35.82359442160407, 1, 0
600, 3.1230127811431885, 124, -35.82359442160407, 1, 0
800, 4.316412925720215, 124, -35.82359442160407, 1, 0
1000, 5.597485780715942, 124, -35.82359442160407, 1, 0
1200, 6.941600799560547, 124, -35.82359442160407, 1, 0
1400, 8.392172574996948, 124, -35.82359442160407, 1, 0
1600, 10.018926620483398, 124, -35.82359442160407, 1, 0
1800, 11.57675051689148, 124, -35.82359442160407, 1, 0
2000, 13.231343507766724, 124, -35.82359442160407, 1, 0
2200, 15.117968559265137, 124, -35.82359442160407, 1, 0
2400, 16.86584162712097, 124, -35.82359442160407, 1, 0
2600, 18.68244743347168, 124, -35.82359442160407, 1, 0
2800, 20.65438747406006, 124, -35.82359442160407, 1, 0
3000, 22.62913751602173, 124, -35.82359442160407, 1, 0
3200, 24.712682485580444, 124, -35.82359442160407, 1, 0
3400, 26.844281435012817, 124, -35.82359442160407, 1, 0
3600, 29.067580461502075, 124, -35.82359442160407, 1, 0
3800, 31.337270259857178, 124, -35.82359442160407, 1, 0
4000, 33.646172285079956, 124, -35.82359442160407, 1, 0
4200, 36.013458490371704, 124, -35.82359442160407, 1, 0
4400, 38.45328330993652, 124, -35.82359442160407, 1, 0
4600, 40.97881746292114, 124, -35.82359442160407, 1, 0
4800, 43.582913637161255, 124, -35.82359442160407, 1, 0
5000, 46.23268938064575, 124, -35.82359442160407, 1, 0
5200, 48.94937515258789, 124, -35.82359442160407, 1, 0
5400, 51.760555267333984, 124, -35.82359442160407, 1, 0
5600, 54.687618017196655, 124, -35.82359442160407, 1, 0
5800, 57.657613039016724, 124, -35.82359442160407, 1, 0
6000, 60.76011800765991, 124, -35.82359442160407, 1, 0
