training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 0.0, 200, -2.0078444355323715, 1, 0
1000, 9.912879943847656, 200, -2.6048240268452223, 1, 0
2000, 22.999027729034424, 200, -2.3815995384639526, 1, 0
3000, 39.19603252410889, 200, -1.1113815144465735, 1, 0
4000, 60.309062480926514, 200, -1.8323873068167766, 1, 0
5000, 83.98089146614075, 200, -0.5146535620066206, 1, 0
6000, 111.02810716629028, 200, -1.0875367465756538, 1, 0
7000, 140.70449471473694, 200, -0.6094911493731777, 1, 0
8000, 176.22295475006104, 200, -1.4044794071668543, 1, 0
9000, 215.79047894477844, 200, -0.5406364132572938, 1, 0
10000, 256.8345937728882, 200, -0.779641520867205, 1, 0
11000, 297.4232380390167, 200, -0.9542973385911265, 1, 0
12000, 337.15298318862915, 200, -1.610600981878319, 1, 0
13000, 377.1973776817322, 200, -1.081770879922738, 1, 0
14000, 417.6938123703003, 200, -0.4622317903353331, 1, 0
15000, 458.38378739356995, 200, -1.5588921007813754, 1, 0
16000, 498.63169622421265, 200, -1.7651237893714193, 1, 0
17000, 539.5744271278381, 200, -1.2697366547109392, 1, 0
18000, 579.1803910732269, 200, -1.3609554933826635, 1, 0
19000, 620.3808553218842, 200, -0.8454565649499057, 1, 0
20000, 659.612509727478, 200, -1.2867862664195708, 1, 0
21000, 699.4182593822479, 200, -0.66524278571105, 1, 0
22000, 739.7304990291595, 200, -1.6545055357090461, 1, 0
23000, 780.3779480457306, 200, -0.3912664982582269, 1, 0
24000, 820.8218288421631, 200, -0.8389184881314676, 1, 0
25000, 859.9143531322479, 200, -2.0458212263416637, 1, 0
26000, 899.5698087215424, 200, -0.8676941243189339, 1, 0
27000, 938.267204284668, 200, -1.141866891487291, 1, 0
28000, 977.3298017978668, 200, -1.8801611030615502, 1, 0
29000, 1018.7769048213959, 200, -2.0594894795647734, 1, 0
30000, 1066.1659054756165, 200, -0.8813597042516175, 1, 0
31000, 1103.4260804653168, 200, -0.5894125068950411, 1, 0
32000, 1142.2152738571167, 200, -1.132992395763123, 1, 0
33000, 1180.9219007492065, 200, -1.003353001426288, 1, 0
34000, 1226.3301339149475, 200, -1.7711578076404295, 1, 0
35000, 1268.090102672577, 200, -1.3416042063304332, 1, 0
36000, 1313.0521504878998, 200, -0.15666434917765956, 1, 0
37000, 1358.3667187690735, 200, -0.964944954219005, 1, 0
38000, 1403.4793076515198, 200, -0.4774430768963306, 1, 0
39000, 1449.7387082576752, 200, -1.1480948714558383, 1, 0
40000, 1494.896900177002, 200, -0.23595656787519534, 1, 0
41000, 1539.5546486377716, 200, -2.464627318347778, 1, 0
42000, 1586.5093500614166, 200, -2.536164582876688, 1, 0
43000, 1635.3341796398163, 200, -2.6240172747171195, 1, 0
44000, 1683.8122160434723, 200, -2.1075754455975675, 1, 0
45000, 1732.0098099708557, 200, -2.048772764022858, 1, 0
46000, 1781.1255860328674, 200, -0.6288500735435429, 1, 0
47000, 1824.105225801468, 200, -1.8170067161966577, 1, 0
48000, 1863.0221364498138, 200, -1.0476557785020817, 1, 0
49000, 1903.4788269996643, 200, -0.2055797232178029, 1, 0
50000, 1943.5643770694733, 200, -0.4770482439578496, 1, 0
51000, 1982.5056991577148, 200, -1.028553347211022, 1, 0
52000, 2023.6800096035004, 200, -1.6473623493723808, 1, 0
53000, 2064.1975004673004, 200, -1.2406723477408177, 1, 0
54000, 2103.498357772827, 200, -1.5842622457917168, 1, 0
55000, 2142.241813182831, 200, -0.43097857390792943, 1, 0
56000, 2181.716145992279, 200, -2.19366724695074, 1, 0
57000, 2221.445893764496, 200, -2.3427863547801158, 1, 0
58000, 2260.4159092903137, 200, -1.037509868872436, 1, 0
59000, 2299.6410977840424, 200, -0.9041318810257897, 1, 0
60000, 2338.145346403122, 200, -0.8085247112027171, 1, 0
61000, 2376.499758720398, 200, -2.764012913353762, 1, 0
62000, 2416.207124710083, 200, -1.0426188523451765, 1, 0
63000, 2455.34135556221, 200, -1.1893627864116292, 1, 0
64000, 2496.9320237636566, 200, -0.5624703014732891, 1, 0
65000, 2536.1021213531494, 200, -2.2040971264444242, 1, 0
66000, 2576.431472301483, 200, -1.4840604027475197, 1, 0
67000, 2613.260007619858, 200, -1.8909365235467528, 1, 0
68000, 2650.021978378296, 200, -2.122608748219768, 1, 0
69000, 2687.398294210434, 200, -0.8654531327222994, 1, 0
70000, 2725.4237275123596, 200, -0.9332460068749254, 1, 0
71000, 2762.5525369644165, 200, -0.7504026737120789, 1, 0
72000, 2808.8451387882233, 200, -0.6279755837236553, 1, 0
73000, 2848.01571726799, 200, -0.9545013629573651, 1, 0
74000, 2888.017597436905, 200, -0.991279077464622, 1, 0
75000, 2927.304855823517, 200, -1.1342584332300638, 1, 0
76000, 2967.244022130966, 200, -0.8032448161792219, 1, 0
77000, 3006.1921248435974, 200, -1.184947114079204, 1, 0
78000, 3044.38107585907, 200, -1.205670841420381, 1, 0
79000, 3084.0916063785553, 200, -2.0965730512505694, 1, 0
80000, 3123.0592648983, 200, -0.4468281712305149, 1, 0
81000, 3162.3015744686127, 200, -0.34745716344354505, 1, 0
82000, 3201.3938500881195, 200, -0.8422799301654625, 1, 0
83000, 3240.983657360077, 200, -0.6086422822093529, 1, 0
84000, 3280.9432559013367, 200, -0.9121838649105664, 1, 0
85000, 3321.3321030139923, 200, -0.2939144937787488, 1, 0
86000, 3364.1621272563934, 200, -1.821533918204789, 1, 0
87000, 3404.0490667819977, 200, -1.5235019965081793, 1, 0
88000, 3441.890561580658, 200, -0.6884662651070805, 1, 0
89000, 3489.165582895279, 200, -0.26889119734759737, 1, 0
90000, 3534.569624900818, 200, -1.38862138926463, 1, 0
91000, 3573.179291009903, 200, -2.5843085908467702, 1, 0
92000, 3612.7829706668854, 200, -1.1647808688742907, 1, 0
93000, 3652.725098848343, 200, -1.335045821969877, 1, 0
94000, 3694.3827006816864, 200, -1.9854627621085394, 1, 0
95000, 3734.6449801921844, 200, -1.1873182750902733, 1, 0
96000, 3774.13458442688, 200, -0.7136533339922532, 1, 0
97000, 3814.3104388713837, 200, -0.7094052865937173, 1, 0
98000, 3854.9400045871735, 200, -1.6927683436208323, 1, 0
99000, 3894.45379781723, 200, -1.505038360924958, 1, 0
100000, 3934.3882048130035, 200, -2.125733942113093, 1, 0
